Survived,Pclass,Sex,Age,Fare,RecordedCabinNumber,isAlone,Embarked_C,Embarked_Q,Embarked_S,Titles_Master,Titles_Military,Titles_Miss,Titles_Mr,Titles_Mrs,Titles_Other,Titles_Royal
0.0,3,0,0.22090977632571,1.2741578492636798,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.08268409148027142,1.6094610059122672,0,0.0,0,0,1,1,0,0,0,0,0,0
0.0,3,1,0.2586076903744659,0.9444826721501687,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,1,0,0.610454888162855,1.8905841979078102,1,0.0,1,0,0,0,0,0,0,1,0,0
1.0,2,0,0.35913546117114853,1.4313637641589874,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,1,1,0.8115104297562202,1.7991971396636215,1,0.0,1,0,0,0,0,0,1,0,0,0
1.0,1,1,0.37170143252073384,1.5622928644564746,1,1.0,0,0,1,0,0,0,1,0,0,0
1.0,2,0,0.2586076903744659,1.0606978403536116,0,1.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.35285247549635584,0.9153576174148317,0,1.0,1,0,0,0,0,0,1,0,0,0
1.0,2,0,0.05755214878110078,1.4586378490256493,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.1329479768786127,1.6803355134145632,0,0.0,0,0,1,1,0,0,0,0,0,0
0.0,3,1,0.2711736617240512,0.9153576174148317,0,1.0,1,0,0,0,0,0,1,0,0,0
0.0,1,1,0.5601910027645137,1.926728200446934,1,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.04498617743151546,1.4608978427565478,0,0.0,0,0,1,1,0,0,0,0,0,0
0.0,1,1,0.37170143252073384,1.458196532741108,0,1.0,1,0,0,0,0,0,1,0,0,0
1.0,3,1,0.03870319175672279,1.2107411023865056,0,0.0,1,0,0,1,0,0,0,0,0,0
1.0,2,0,0.35913546117114853,1.0606978403536116,1,1.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.2334757476752953,0.9618148656833371,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.20834380497612465,0.9506082247842308,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.32143754712239253,0.9850895069263813,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.39683337521990447,1.0606978403536116,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.19577783362653933,1.6803355134145632,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,2,1,0.2586076903744659,1.8721562727482928,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.32143754712239253,1.1890465283525415,0,0.0,1,0,0,0,0,0,1,0,0,0
1.0,3,1,0.39683337521990447,1.75963612115147,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.3088715757728072,0.9370161074648142,1,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9491850103134346,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,2,1,0.005152048253329982,1.4771212547196624,0,0.0,0,0,1,1,0,0,0,0,0,0
1.0,3,0,0.37170143252073384,1.1295287738587763,0,1.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.2711736617240512,1.0,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,1,0.35913546117114853,1.021189299069938,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.2586076903744659,0.9438653380278803,0,1.0,0,1,0,0,0,1,0,0,0,0
0.0,1,1,0.34656948982156316,1.6821450763738317,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,2,0,0.20834380497612465,1.0606978403536116,0,1.0,0,0,1,0,0,1,0,0,0,0
1.0,3,0,0.4093993465694898,1.2265999052073575,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.19577783362653933,1.5486964485323467,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,1,0,0.2837396330736366,2.4216039268698313,1,0.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.2963056044232219,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.35913546117114853,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.24604171902488062,0.9471493276626374,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.5727569741140991,1.7936157939419737,1,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.32143754712239253,1.3339508043872472,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.7361146016587082,0.9164539485499251,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.8869062578537321,1.5521106963024893,1,1.0,1,0,0,0,0,0,1,0,0,0
1.0,1,1,0.2837396330736366,1.808604563855051,1,0.0,1,0,0,0,0,0,1,0,0,0
1.0,2,0,0.4219653179190751,1.380211241711606,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,2,1,0.4219653179190751,1.4313637641589874,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.34656948982156316,0.9491850103134346,0,1.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.37170143252073384,0.9491850103134346,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.2586076903744659,1.8936924247093643,1,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.4093993465694898,0.9847162915819765,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.4596632319678311,0.9506082247842308,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.34656948982156316,0.9491850103134346,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.2586076903744659,0.9370161074648142,0,1.0,0,0,1,0,0,1,0,0,0,0
1.0,3,1,0.37170143252073384,0.9432471251378617,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.4722292033174164,0.9491850103134346,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.2586076903744659,1.400537989391946,0,0.0,0,1,0,0,0,1,0,0,0,0
0.0,1,1,0.5853229454636844,1.724275869600789,1,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.17692887660216136,1.1890465283525415,0,0.0,1,0,0,0,0,1,0,0,0,0
0.0,3,1,0.2711736617240512,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.24604171902488062,1.034427905025403,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,3,0,0.20834380497612465,1.1891617314183722,0,1.0,1,0,0,0,0,1,0,0,0,0
0.0,3,1,0.2586076903744659,0.9506082247842308,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.8806232721789394,0.9420080530223133,0,1.0,0,1,0,0,0,0,1,0,0,0
0.0,2,1,0.35913546117114853,1.3424226808222062,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.2963056044232219,2.3953627429574396,1,0.0,1,0,0,0,0,0,1,0,0,0
0.0,3,0,0.01985423473234481,1.5088662509384578,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,2,1,0.2586076903744659,1.8721562727482928,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.40311636089469716,1.492352435460081,0,0.0,1,0,0,0,0,0,1,0,0,0
1.0,2,0,0.40311636089469716,1.146128035678238,1,1.0,0,0,1,0,0,1,0,0,0,0
0.0,1,1,0.6732847449107816,1.8936924247093643,1,0.0,0,0,1,0,0,0,1,0,0,0
1.0,3,1,0.14551394822819805,1.0878417322991751,0,0.0,1,0,0,1,0,0,0,0,0,0
0.0,3,1,0.37170143252073384,0.9420080530223133,0,1.0,0,1,0,0,0,0,1,0,0,0
1.0,3,1,0.2963056044232219,0.9107150957411293,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.2586076903744659,1.3684412319555557,1,0.0,1,0,0,0,0,1,0,0,0,0
0.0,3,1,0.5601910027645137,0.9017306917292187,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.4093993465694898,0.9491850103134346,0,1.0,1,0,0,0,0,0,1,0,0,0
0.0,3,1,0.24604171902488062,0.9057958803678685,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.5853229454636844,1.1903316981702914,0,0.0,0,0,1,0,0,0,0,1,0,0
1.0,2,0,0.35913546117114853,1.4313637641589874,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,2,1,0.3088715757728072,1.146128035678238,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.2837396330736366,1.2053613747144323,0,1.0,1,0,0,0,0,0,1,0,0,0
1.0,1,0,0.2334757476752953,1.4358968984299505,1,0.0,0,0,1,0,0,1,0,0,0,0
0.0,1,1,0.4596632319678311,1.7331972651065695,1,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.19577783362653933,1.0093106410801986,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.2963056044232219,1.9041743682841634,1,1.0,1,0,0,0,0,0,1,0,0,0
0.0,3,0,0.4345312892686604,1.2107411023865056,0,0.0,1,0,0,0,0,0,0,1,0,0
1.0,3,0,0.2711736617240512,0.9420080530223133,0,1.0,0,0,1,0,0,1,0,0,0,0
1.0,3,0,0.2963056044232219,1.2265999052073575,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.2334757476752953,0.8893017025063102,0,1.0,0,1,0,0,0,0,1,0,0,0
0.0,2,1,0.22090977632571,1.0969100130080565,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.2334757476752953,1.576916955965207,0,0.0,0,0,1,0,0,0,1,0,0,0
1.0,3,1,0.33400351847197784,0.9442753457587986,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.10781603417944208,1.5486964485323467,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,2,1,0.4533802462930384,1.4313637641589874,1,0.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.5224930887157577,1.146128035678238,0,1.0,0,0,1,0,0,0,0,0,1,0
0.0,2,1,0.6355868308620256,1.131137273778607,0,1.0,0,0,1,0,0,0,0,0,1,0
1.0,1,0,0.2711736617240512,1.829946695941636,1,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.6921337019351597,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.5036441316913798,1.1903316981702914,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.919731658311161,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.6355868308620256,1.7950398007222887,0,0.0,1,0,0,0,0,0,1,0,0,0
1.0,3,0,0.19577783362653933,0.9411783789843933,0,1.0,0,1,0,0,0,1,0,0,0,0
0.0,3,1,0.37170143252073384,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9850895069263813,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.03870319175672279,1.8484970180903666,0,0.0,0,0,1,1,0,0,0,0,0,0
0.0,3,1,0.5476250314149284,1.2329961103921538,0,0.0,0,0,1,0,0,0,1,0,0,0
1.0,2,0,0.49736114601658704,1.224014811372864,0,1.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.32143754712239253,0.9432471251378617,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.20834380497612465,0.9850895069263813,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.007288263382759488,1.6094610059122672,0,0.0,0,0,1,1,0,0,0,0,0,0
1.0,3,1,0.10781603417944208,1.3329431601256923,0,0.0,0,0,1,1,0,0,0,0,0,0
1.0,1,0,0.4345312892686604,1.7481880270062005,1,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,0,0.5601910027645137,1.4608978427565478,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,1,1,0.37170143252073384,1.4301557119700192,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.34656948982156316,1.75963612115147,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.7612465443578789,1.5378190950732742,1,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.04498617743151546,1.4789270555829248,0,0.0,0,1,0,1,0,0,0,0,0,0
1.0,3,0,0.007288263382759488,1.083978935811046,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.2586076903744659,0.9506082247842308,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.6984166876099522,1.5010017178117605,1,1.0,1,0,0,0,0,0,1,0,0,0
0.0,3,1,0.22090977632571,0.9471493276626374,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.03870319175672279,1.4226997946774695,0,0.0,0,0,1,1,0,0,0,0,0,0
0.0,1,0,0.6230208595124404,1.4729391947362367,1,1.0,1,0,0,0,0,1,0,0,0,0
0.0,2,1,0.37170143252073384,1.146128035678238,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.4470972606182458,0.0,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.2586076903744659,1.8484970180903666,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,2,1,0.37170143252073384,1.2054750367408908,0,1.0,1,0,0,0,0,0,1,0,0,0
0.0,3,1,0.10781603417944208,1.5103774259938814,0,0.0,0,0,1,1,0,0,0,0,0,0
1.0,2,1,0.007288263382759488,1.6020599913279623,1,0.0,0,0,1,1,0,0,0,0,0,0
1.0,3,0,0.04498617743151546,1.3621996388688864,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,1,1,0.37170143252073384,1.7075701760979363,1,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.4345312892686604,1.2174839442139063,0,0.0,0,1,0,0,0,0,0,1,0,0
1.0,1,1,0.5601910027645137,1.440121603187804,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.49736114601658704,1.2174839442139063,0,0.0,0,1,0,0,0,0,1,0,0,0
0.0,3,1,0.4470972606182458,0.9491850103134346,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,2,0,0.39683337521990447,1.146128035678238,0,1.0,0,0,1,0,0,0,0,1,0,0
0.0,2,1,0.2334757476752953,1.146128035678238,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.2334757476752953,0.9471493276626374,0,0.0,0,0,1,0,0,1,0,0,0,0
1.0,2,1,0.032420206081930136,1.4313637641589874,1,0.0,0,0,1,1,0,0,0,0,0,0
1.0,1,0,0.5476250314149284,1.458196532741108,1,1.0,1,0,0,0,0,0,0,1,0,0
1.0,1,0,0.723548630309123,2.1688532588793175,1,1.0,1,0,0,0,0,1,0,0,0,0
0.0,3,1,0.37170143252073384,0.9420080530223133,0,1.0,0,1,0,0,0,0,1,0,0,0
0.0,3,1,0.5224930887157577,0.9733218567324377,0,0.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.2586076903744659,0.9420080530223133,0,1.0,0,1,0,0,0,1,0,0,0,0
0.0,2,0,0.2963056044232219,1.146128035678238,0,1.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.34656948982156316,1.021189299069938,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,1.8484970180903666,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.4219653179190751,0.8748179903590257,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.5664739884393064,0.9151359066220119,0,1.0,1,0,0,0,0,0,1,0,0,0
1.0,3,1,0.22090977632571,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.01985423473234481,1.0592793486780776,1,0.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.39683337521990447,1.2265999052073575,0,0.0,0,0,1,0,0,0,1,0,0,0
1.0,3,1,0.32143754712239253,1.2963909278704124,0,1.0,1,0,0,0,0,0,1,0,0,0
1.0,3,0,0.19577783362653933,0.9420080530223133,0,1.0,0,1,0,0,0,1,0,0,0,0
1.0,1,1,0.49736114601658704,1.505149978319906,1,1.0,1,0,0,0,0,0,1,0,0,0
0.0,3,1,0.2963056044232219,0.9057958803678685,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,2,0,0.4345312892686604,1.3424226808222062,0,1.0,0,0,1,0,0,1,0,0,0,0
0.0,3,1,0.2711736617240512,0.9164539485499251,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.37170143252073384,1.146128035678238,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9420080530223133,0,0.0,0,1,0,0,0,0,1,0,0,0
1.0,1,0,0.38426740387031916,2.0579512299613683,1,0.0,1,0,0,0,0,1,0,0,0,0
1.0,3,0,0.33400351847197784,0.9506082247842308,0,1.0,0,0,1,0,0,1,0,0,0,0
0.0,2,1,0.5224930887157577,1.4471580313422192,0,0.0,0,0,1,0,0,0,1,0,0,0
1.0,1,0,0.39683337521990447,1.88813285953623,1,1.0,1,0,0,0,0,1,0,0,0,0
0.0,2,1,0.37170143252073384,1.0606978403536116,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,1,0.19577783362653933,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.33400351847197784,1.146128035678238,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.6355868308620256,0.9566485792052033,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9491850103134346,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,1,1,0.4722292033174164,1.9590413923210936,1,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.2711736617240512,1.0149403497929366,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,2,1,0.2334757476752953,1.0606978403536116,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.2523247046996733,0.9164539485499251,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.22090977632571,1.146128035678238,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.2586076903744659,1.4226997946774695,0,0.0,0,0,1,0,0,1,0,0,0,0
1.0,1,0,0.4345312892686604,1.926728200446934,1,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.35913546117114853,0.9432471251378617,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.7361146016587082,1.1613680022349748,0,1.0,0,0,1,0,0,0,1,0,0,0
1.0,3,0,0.05755214878110078,1.5103774259938814,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,2,1,0.2963056044232219,1.0606978403536116,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.2586076903744659,0.9319661147281727,0,1.0,0,0,1,0,0,1,0,0,0,0
0.0,2,1,0.5476250314149284,1.4313637641589874,0,0.0,0,0,1,0,0,0,1,0,0,0
1.0,2,0,0.09525006282985675,1.4353665066126613,0,0.0,0,0,1,0,0,1,0,0,0,0
0.0,2,1,0.2334757476752953,1.0606978403536116,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.4093993465694898,1.1230345297535067,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.2586076903744659,1.1890465283525415,0,0.0,1,0,0,0,0,1,0,0,0,0
1.0,3,0,0.2586076903744659,1.2174839442139063,0,0.0,0,1,0,0,0,1,0,0,0,0
0.0,2,1,0.35913546117114853,1.0606978403536116,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.2711736617240512,0.909823369650912,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,0.9151359066220119,0,1.0,1,0,0,0,0,0,1,0,0,0
0.0,1,1,0.5476250314149284,1.9590413923210936,1,0.0,0,1,0,0,0,0,0,0,1,0
0.0,3,0,0.3088715757728072,0.9432471251378617,0,1.0,0,0,1,0,0,1,0,0,0,0
1.0,2,0,0.2963056044232219,1.1903316981702914,0,0.0,0,0,1,0,0,0,0,1,0,0
1.0,1,1,0.4596632319678311,1.7287935361444735,1,0.0,0,0,1,0,0,0,1,0,0,0
0.0,2,1,0.6732847449107816,1.4313637641589874,0,0.0,0,0,1,0,0,0,0,0,1,0
0.0,3,1,0.37170143252073384,0.9164539485499251,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.35913546117114853,1.0592793486780776,1,0.0,0,0,1,0,0,0,0,1,0,0
0.0,1,1,0.7738125157074642,1.440121603187804,1,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.37170143252073384,1.2329961103921538,0,0.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.5099271173661725,1.326591855325732,0,0.0,0,0,1,0,0,0,0,1,0,0
1.0,3,0,0.35913546117114853,1.2107411023865056,0,0.0,1,0,0,0,0,0,0,1,0,0
1.0,1,0,0.4345312892686604,1.9041743682841634,0,1.0,1,0,0,0,0,0,0,1,0,0
1.0,1,0,0.37170143252073384,1.9420080530223132,1,1.0,0,0,1,0,0,1,0,0,0,0
1.0,1,0,0.4345312892686604,2.7103959691861146,0,1.0,1,0,0,0,0,1,0,0,0,0
1.0,2,0,0.6230208595124404,1.4313637641589874,0,0.0,0,0,1,0,0,0,0,1,0,0
0.0,3,1,0.37170143252073384,0.9420080530223133,0,1.0,0,1,0,0,0,0,1,0,0,0
1.0,3,1,0.032420206081930136,1.5103774259938814,0,0.0,0,0,1,1,0,0,0,0,0,0
0.0,1,1,0.648152802211611,1.9066043717249803,1,0.0,0,0,1,0,0,0,1,0,0,0
0.0,1,1,0.49736114601658704,0.0,1,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,0,0.2586076903744659,0.9420080530223133,0,1.0,0,1,0,0,0,1,0,0,0,0
0.0,2,1,0.4470972606182458,1.0606978403536116,0,1.0,0,0,1,0,0,0,1,0,0,0
0.0,3,1,0.19577783362653933,1.6094610059122672,0,0.0,0,0,1,0,0,0,1,0,0,0
